id,name,rating,review_count,price,categories,address,city,state,zip_code,latitude,longitude,url,hours,fetched_city,fetched_category
OXzdK2hmdV--UW9Vt6i3eQ,Jimmy John's,3.4,23,$,"Delis, Sandwiches, Fast Food",5011 E 42nd St,Odessa,TX,79762,31.89429107659704,-102.332876,https://www.yelp.com/biz/jimmy-johns-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-22:00 | Tuesday: 11:00-22:00 | Wednesday: 11:00-22:00 | Thursday: 11:00-22:00 | Friday: 11:00-22:00 | Saturday: 11:00-22:00 | Sunday: 11:00-22:00,"Odessa, TX",fastfood
f6gamwfaf2rOOJgYhv5AGg,La Toreada Taco House,3.4,16,$,Mexican,308 W University Blvd,Odessa,TX,79764,31.86777,-102.38433,https://www.yelp.com/biz/la-toreada-taco-house-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-22:00 | Tuesday: 11:00-22:00 | Wednesday: 11:00-22:00 | Thursday: 11:00-22:00 | Friday: 11:00-22:00 | Saturday: 11:00-22:00 | Sunday: 11:00-22:00,"Odessa, TX",fastfood
wdiBQ844dC63Y-on3lMv6Q,Don Bolos,3.4,30,,Mexican,981 E 87th St,Odessa,TX,79765,31.93835186434489,-102.38508186008852,https://www.yelp.com/biz/don-bolos-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: Closed | Tuesday: 17:00-21:00 | Wednesday: 17:00-21:00 | Thursday: 11:00-23:00 | Friday: 11:00-23:00 | Saturday: 11:00-23:00 | Sunday: 11:00-21:00,"Odessa, TX",fastfood
Vgx65SkoGYrOh95bmo1nrQ,Crab station & Oyster Bar - Odessa,3.4,33,,"Seafood, Cajun/Creole, Chicken Wings",4231 N Dixie Blvd,Odessa,TX,79762,31.885384,-102.374941,https://www.yelp.com/biz/crab-station-and-oyster-bar-odessa-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 12:00-22:30 | Tuesday: 12:00-22:30 | Wednesday: 12:00-22:30 | Thursday: 12:00-22:30 | Friday: 12:00-23:00 | Saturday: 12:00-23:00 | Sunday: 12:00-22:30,"Odessa, TX",fastfood
tEX7-Ea38ENQlWtxUXVCbA,The Legendary Barn Door Steakhouse,3.3,265,$$,"Steakhouses, Seafood",2140 Andrews Hwy,Odessa,TX,79761,31.864789396248906,-102.37881456230238,https://www.yelp.com/biz/the-legendary-barn-door-steakhouse-odessa-5?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:30 | Tuesday: 11:00-21:30 | Wednesday: 11:00-21:30 | Thursday: 11:00-21:30 | Friday: 11:00-22:30 | Saturday: 16:00-22:30 | Sunday: Closed,"Odessa, TX",fastfood
atvSwO-cPb7BAE4MpgfYVQ,CASA ORTIZ RESTAURANT,3.3,9,,Mexican,503 N Alleghaney Ave,Odessa,TX,79761,31.8456798,-102.3750736,https://www.yelp.com/biz/casa-ortiz-restaurant-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 07:30-14:00 | Tuesday: 07:30-14:00 | Wednesday: 07:30-14:00 | Thursday: 07:30-14:00 | Friday: 07:30-14:00 | Saturday: Closed | Sunday: Closed,"Odessa, TX",fastfood
e3ZXOfE4Qs1B5nHPbdHroQ,Keith's Hamburger Station,3.3,60,$,"American, Burgers, Fast Food",4324 Andrews Hwy,Odessa,TX,79762,31.88524,-102.3854,https://www.yelp.com/biz/keiths-hamburger-station-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 10:00-22:00 | Tuesday: 10:00-22:00 | Wednesday: 10:00-22:00 | Thursday: 10:00-22:00 | Friday: 10:00-22:00 | Saturday: 10:00-21:00 | Sunday: Closed,"Odessa, TX",fastfood
bt17Pok9t9xD0ZPHKNfZEg,Jalisco's Cafe,3.3,11,,Restaurants,2281 Linda Ave,Odessa,TX,79763,31.853627,-102.410102,https://www.yelp.com/biz/jaliscos-cafe-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 07:00-20:00 | Tuesday: 07:00-20:00 | Wednesday: 07:00-20:00 | Thursday: 07:00-20:00 | Friday: 07:00-20:00 | Saturday: 07:00-20:00 | Sunday: 08:00-15:00,"Odessa, TX",fastfood
WZEQd9lUcXlT_HKHyc2EVA,Scooter's Coffee,4.0,2,,"Coffee & Tea, Juice Bars & Smoothies, Sandwiches",801 N Grant Ave,Odessa,TX,79761,31.851174,-102.371952,https://www.yelp.com/biz/scooters-coffee-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 06:00-14:00 | Tuesday: 06:00-14:00 | Wednesday: 06:00-14:00 | Thursday: 06:00-14:00 | Friday: 06:00-14:00 | Saturday: 06:00-14:00 | Sunday: 06:00-14:00,"Odessa, TX",fastfood
J6HzTfVsIqW-2Oqapn4u4A,Ratliff Ranch Golf Links,4.0,2,,Golf,7500 N Grandview Ave,Odessa,TX,79765,31.92383,-102.36103,https://www.yelp.com/biz/ratliff-ranch-golf-links-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Hours not available,"Odessa, TX",fastfood
