id,name,rating,review_count,price,categories,address,city,state,zip_code,latitude,longitude,url,hours,fetched_city,fetched_category,bayes_score,popularity,rank_score
87URbsnwWJa_o7ICKQJG-A,Cane D'oro Pizza,4.5,8,$,"Food Trucks, Caterers",,Midland,TX,79707.0,32.0324325561523,-102.212562561035,https://www.yelp.com/biz/cane-d-oro-pizza-midland-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: Closed | Tuesday: Closed | Wednesday: 17:00-20:00 | Thursday: 16:00-22:00 | Friday: 17:00-20:00 | Saturday: Closed | Sunday: Closed,"Odessa, TX",foodtrucks,3.259636810594346,2.1972245773362196,4.3339599276085075
X89FSMgS18fI0l0xMpy8Bg,L'Oven Expressions Bakery,3.7,13,$$$,Bakeries,2115 E 42nd St,Odessa,TX,79762.0,31.89005,-102.35418,https://www.yelp.com/biz/l-oven-expressions-bakery-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Hours not available,"Odessa, TX",indian,3.0981681931723566,2.639057329615259,4.324604714958212
7u5b4FLdSghbkiEXd5999g,Rosa's Café & Tortilla Factory,2.8,45,$,"Mexican, Breakfast & Brunch",2501 N Big Spring St,Midland,TX,79701.0,32.0227412465233,-102.082298425183,https://www.yelp.com/biz/rosas-caf%C3%A9-and-tortilla-factory-midland-6?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 06:30-22:00 | Tuesday: 06:30-22:00 | Wednesday: 06:30-22:00 | Thursday: 06:30-22:00 | Friday: 06:30-23:00 | Saturday: 06:30-23:00 | Sunday: 06:30-22:00,"Midland, TX",mexican,2.731937465904849,3.828641396489095,4.300878797092273
i18cm1tmHclwRsTlA6sNgg,Mariscos Paolas,4.2,9,$,"Food Trucks, Seafood, Mexican",3200 Bankhead Hwy,Midland,TX,79701.0,31.984035,-102.1072395,https://www.yelp.com/biz/mariscos-paolas-midland-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 10:00-21:30 | Tuesday: 10:00-21:30 | Wednesday: 10:00-21:30 | Thursday: 10:00-21:30 | Friday: 10:00-21:30 | Saturday: 10:00-21:30 | Sunday: 10:00-21:30,"Midland, TX",mexican,3.1932896828400574,2.302585092994046,4.296212866037937
f1gQ9zJ05P89pkBTkvUQ9Q,The Human Bean,4.2,9,,Coffee & Tea,2007 North Big Spring St,Midland,TX,79705.0,32.017447423624034,-102.0800253,https://www.yelp.com/biz/the-human-bean-midland?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 05:00-21:00 | Tuesday: 05:00-21:00 | Wednesday: 05:00-21:00 | Thursday: 05:00-21:00 | Friday: 05:00-21:00 | Saturday: 05:00-21:00 | Sunday: 05:00-21:00,"Midland, TX",coffee,3.1932896828400574,2.302585092994046,4.296212866037937
Wl4RyU-yRo6UgHOE4sncyQ,Maria's Mexican Kitchen Odessa,3.5,15,,Mexican,7254 E Hwy 191,Odessa,TX,79765.0,31.90994614700551,-102.29831426464423,https://www.yelp.com/biz/marias-mexican-kitchen-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-22:00 | Tuesday: 11:00-22:00 | Wednesday: 11:00-22:00 | Thursday: 11:00-22:00 | Friday: 11:00-23:00 | Saturday: 10:00-23:00 | Sunday: 10:00-21:00,"Odessa, TX",mexican,3.034013322231474,2.772588722239781,4.295823990283109
XHXFA9_wym5Y9wpPWjvWvg,Dragon China,3.0,29,$,Buffets,1300 S Gregg St,Big Spring,TX,79720.0,32.2415008544922,-101.474647521973,https://www.yelp.com/biz/dragon-china-big-spring?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 10:30-21:30 | Tuesday: 10:30-21:30 | Wednesday: 10:30-21:30 | Thursday: 10:30-21:30 | Friday: 10:30-21:30 | Saturday: 10:30-21:30 | Sunday: 10:30-21:30,"Odessa, TX",buffets,2.844104119582887,3.4011973816621555,4.2951080422878665
WeqD_CunBXW36CouBH_kng,"Chaotic Wings, Pizza, Burgers & More",2.7,58,,"Pizza, Chicken Wings, Burgers",2821 Andrews Hwy,Odessa,TX,79762.0,31.870792,-102.381603,https://www.yelp.com/biz/chaotic-wings-pizza-burgers-and-more-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-22:00 | Tuesday: 11:00-22:00 | Wednesday: 11:00-22:00 | Thursday: 11:00-22:00 | Friday: 11:00-23:00 | Saturday: 11:00-23:00 | Sunday: 11:00-23:00,"Odessa, TX",pizza,2.662709479189877,4.07753744390572,4.29130411973579
Di3vyz-A_wJuMScMaiMUyQ,Cicis Pizza,3.2,21,$,"Pizza, Kids Activities, Buffets",2106 Rankin Hwy,Midland,TX,79701.0,31.9759646977894,-102.07623437047,https://www.yelp.com/biz/cicis-pizza-midland-3?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-22:00 | Tuesday: 11:00-22:00 | Wednesday: 11:00-22:00 | Thursday: 11:00-22:00 | Friday: 11:00-22:00 | Saturday: 11:00-22:00 | Sunday: 11:00-22:00,"Odessa, TX",buffets,2.930952147720037,3.091042453358316,4.289906775324692
s43q4z-B_ldoCHZ58PzJOQ,Melody Bakery,4.4,8,,Bakeries,631 W Clements St,Odessa,TX,79761.0,31.83297,-102.3667,https://www.yelp.com/biz/melody-bakery-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 08:00-20:00 | Tuesday: 08:00-20:00 | Wednesday: 08:00-20:00 | Thursday: 08:00-20:00 | Friday: 08:00-20:00 | Saturday: Closed | Sunday: 08:00-20:00,"Odessa, TX",indian,3.221541572499108,2.1972245773362196,4.283309120499919
